Dataset order,Sepal length,Sepal width,Petal length,Petal width,Species
70,5.6,2.5,3.9,1.1,I.Êversicolor
71,5.9,3.2,4.8,1.8,I.Êversicolor
72,6.1,2.8,4,1.3,I.Êversicolor
73,6.3,2.5,4.9,1.5,I.Êversicolor
74,6.1,2.8,4.7,1.2,I.Êversicolor
75,6.4,2.9,4.3,1.3,I.Êversicolor
76,6.6,3,4.4,1.4,I.Êversicolor
77,6.8,2.8,4.8,1.4,I.Êversicolor
78,6.7,3,5,1.7,I.Êversicolor
79,6,2.9,4.5,1.5,I.Êversicolor
80,5.7,2.6,3.5,1,I.Êversicolor
81,5.5,2.4,3.8,1.1,I.Êversicolor
82,5.5,2.4,3.7,1,I.Êversicolor
83,5.8,2.7,3.9,1.2,I.Êversicolor
84,6,2.7,5.1,1.6,I.Êversicolor
85,5.4,3,4.5,1.5,I.Êversicolor
86,6,3.4,4.5,1.6,I.Êversicolor
87,6.7,3.1,4.7,1.5,I.Êversicolor
88,6.3,2.3,4.4,1.3,I.Êversicolor
89,5.6,3,4.1,1.3,I.Êversicolor
90,5.5,2.5,4,1.3,I.Êversicolor
91,5.5,2.6,4.4,1.2,I.Êversicolor
92,6.1,3,4.6,1.4,I.Êversicolor
93,5.8,2.6,4,1.2,I.Êversicolor
94,5,2.3,3.3,1,I.Êversicolor
95,5.6,2.7,4.2,1.3,I.Êversicolor
96,5.7,3,4.2,1.2,I.Êversicolor
97,5.7,2.9,4.2,1.3,I.Êversicolor
98,6.2,2.9,4.3,1.3,I.Êversicolor
99,5.1,2.5,3,1.1,I.Êversicolor
100,5.7,2.8,4.1,1.3,I.Êversicolor
101,6.3,3.3,6,2.5,I.Êvirginica
102,5.8,2.7,5.1,1.9,I.Êvirginica
103,7.1,3,5.9,2.1,I.Êvirginica
104,6.3,2.9,5.6,1.8,I.Êvirginica
105,6.5,3,5.8,2.2,I.Êvirginica
106,7.6,3,6.6,2.1,I.Êvirginica
107,4.9,2.5,4.5,1.7,I.Êvirginica
108,7.3,2.9,6.3,1.8,I.Êvirginica
109,6.7,2.5,5.8,1.8,I.Êvirginica
110,7.2,3.6,6.1,2.5,I.Êvirginica
111,6.5,3.2,5.1,2,I.Êvirginica
112,6.4,2.7,5.3,1.9,I.Êvirginica
113,6.8,3,5.5,2.1,I.Êvirginica
114,5.7,2.5,5,2,I.Êvirginica
115,5.8,2.8,5.1,2.4,I.Êvirginica
116,6.4,3.2,5.3,2.3,I.Êvirginica
117,6.5,3,5.5,1.8,I.Êvirginica
118,7.7,3.8,6.7,2.2,I.Êvirginica
119,7.7,2.6,6.9,2.3,I.Êvirginica
120,6,2.2,5,1.5,I.Êvirginica
121,6.9,3.2,5.7,2.3,I.Êvirginica
122,5.6,2.8,4.9,2,I.Êvirginica
123,7.7,2.8,6.7,2,I.Êvirginica
124,6.3,2.7,4.9,1.8,I.Êvirginica
125,6.7,3.3,5.7,2.1,I.Êvirginica
126,7.2,3.2,6,1.8,I.Êvirginica
127,6.2,2.8,4.8,1.8,I.Êvirginica
128,6.1,3,4.9,1.8,I.Êvirginica
129,6.4,2.8,5.6,2.1,I.Êvirginica
130,7.2,3,5.8,1.6,I.Êvirginica
131,7.4,2.8,6.1,1.9,I.Êvirginica
132,7.9,3.8,6.4,2,I.Êvirginica
133,6.4,2.8,5.6,2.2,I.Êvirginica
134,6.3,2.8,5.1,1.5,I.Êvirginica
135,6.1,2.6,5.6,1.4,I.Êvirginica
136,7.7,3,6.1,2.3,I.Êvirginica
137,6.3,3.4,5.6,2.4,I.Êvirginica
138,6.4,3.1,5.5,1.8,I.Êvirginica
139,6,3,4.8,1.8,I.Êvirginica
140,6.9,3.1,5.4,2.1,I.Êvirginica
141,6.7,3.1,5.6,2.4,I.Êvirginica
142,6.9,3.1,5.1,2.3,I.Êvirginica
143,5.8,2.7,5.1,1.9,I.Êvirginica
144,6.8,3.2,5.9,2.3,I.Êvirginica
145,6.7,3.3,5.7,2.5,I.Êvirginica
146,6.7,3,5.2,2.3,I.Êvirginica
147,6.3,2.5,5,1.9,I.Êvirginica
148,6.5,3,5.2,2,I.Êvirginica
149,6.2,3.4,5.4,2.3,I.Êvirginica
150,5.9,3,5.1,1.8,I.Êvirginica
